time,time,y,yaw_speed
1668702003.0,681931825.0,0.0,0.0
1668702003.0,781934606.0,0.0,0.0
1668702003.0,881916464.0,0.0,0.0
1668702003.0,981956554.0,0.0,0.0
1668702004.0,81916432.0,0.0,0.0
1668702004.0,181948459.0,0.0,0.0
1668702004.0,281928047.0,0.0,0.0
1668702004.0,381928833.0,0.0,0.0
1668702004.0,481932877.0,0.0,0.0
1668702004.0,581928291.0,0.0,0.0
1668702004.0,681933707.0,0.0,0.0
1668702004.0,781917865.0,0.0,0.0
1668702004.0,881911034.0,0.0,0.0
1668702004.0,981992739.0,0.0,0.0
1668702005.0,81921493.0,0.0,0.0
1668702005.0,181927066.0,0.0,0.0
1668702005.0,281915471.0,0.0,0.0
1668702005.0,381950045.0,0.0,0.0
1668702005.0,481934048.0,0.0,0.0
1668702005.0,581923472.0,0.0,0.0
1668702005.0,681935555.0,0.0,0.0
1668702005.0,781935248.0,0.0,0.0
1668702005.0,881930962.0,0.0,0.0
1668702005.0,981921620.0,0.0,0.0
1668702006.0,81933035.0,0.0,0.0
1668702006.0,181934879.0,0.0,0.0
1668702006.0,281912593.0,0.0,0.0
1668702006.0,381922239.0,0.0,0.0
1668702006.0,501923825.0,0.0,0.0
1668702006.0,601923684.0,0.0,0.0
1668702006.0,701925448.0,0.0,0.0
1668702006.0,801949562.0,0.0,0.0
1668702006.0,901949636.0,0.0,0.0
1668702007.0,1912682.0,0.0,0.0
1668702007.0,101926372.0,0.0,0.0
1668702007.0,201911688.0,0.0,0.0
1668702007.0,301912148.0,0.0,0.0
1668702007.0,401948250.0,0.0,0.0
1668702007.0,501922731.0,0.0,0.0
1668702007.0,601912517.0,0.0,0.0
1668702007.0,701912421.0,0.0,0.0
1668702007.0,801924939.0,0.0,0.0
1668702007.0,901922217.0,0.0,0.0
1668702008.0,1922406.0,0.0,0.0
1668702008.0,101949066.0,0.0,0.0
1668702008.0,201925687.0,0.0,0.0
1668702008.0,301914266.0,0.0,0.0
1668702008.0,401918980.0,0.0,0.0
1668702008.0,501915177.0,0.0,0.0
1668702008.0,601949784.0,0.0,0.0
1668702008.0,701946877.0,0.0,0.0
1668702008.0,801917324.0,0.0,0.0
1668702008.0,901931691.0,0.0,0.0
1668702009.0,1921041.0,0.0,0.0
1668702009.0,101948137.0,0.0,0.0
1668702009.0,201953213.0,0.0,0.0
1668702009.0,301935732.0,0.0,0.0
1668702009.0,401949498.0,0.0,0.0
1668702009.0,501919880.0,0.0,0.0
1668702009.0,601947933.0,0.0,0.0
1668702009.0,701928758.0,0.0,0.0
1668702009.0,801933384.0,0.0,0.0
1668702009.0,901969620.0,0.0,0.0
1668702010.0,1934680.0,0.0,0.0
1668702010.0,101936488.0,0.0,0.0
1668702010.0,201928860.0,0.0,0.0
1668702010.0,301926344.0,0.0,0.0
1668702010.0,401929681.0,0.0,0.0
1668702010.0,501915899.0,0.0,0.0
1668702010.0,601949670.0,0.0,0.0
1668702010.0,701934399.0,0.0,0.0
1668702010.0,801939490.0,0.0,0.0
1668702010.0,901949758.0,0.0,0.0
1668702011.0,21952372.0,0.0,0.0
1668702011.0,121950507.0,0.0,0.0
1668702011.0,221947931.0,0.0,0.0
1668702011.0,321948110.0,0.0,0.0
1668702011.0,421929582.0,0.0,0.0
1668702011.0,521950228.0,0.0,0.0
1668702011.0,621931981.0,0.0,0.0
1668702011.0,721949480.0,0.0,0.0
1668702011.0,821946893.0,0.0,0.0
1668702011.0,921924778.0,0.0,0.0
1668702012.0,21934704.0,0.0,0.0
1668702012.0,121946169.0,0.0,0.0185844
1668702012.0,221913089.0,0.0,0.0079121
1668702012.0,321946755.0,0.0,0.0119789
1668702012.0,421949560.0,0.0,0.0053044
1668702012.0,521925455.0,0.0,0.0202092
1668702012.0,621914599.0,0.0,0.0140621
1668702012.0,721934850.0,0.0,0.0204005
1668702012.0,821931231.0,0.0,0.00154814
1668702012.0,921989888.0,0.0,-0.00696617
1668702013.0,21927957.0,0.0,-0.0227781
1668702013.0,121940038.0,0.0,-0.023778
1668702013.0,221931153.0,0.0,-0.0417762
1668702013.0,321947705.0,0.0,-0.0442031
1668702013.0,421932013.0,0.0,-0.0208389
1668702013.0,521930313.0,0.0,-0.0269671
1668702013.0,621944695.0,0.0,0.00776818
1668702013.0,721929335.0,0.0,0.0281459
1668702013.0,821914355.0,0.0,0.0517156
1668702013.0,921951775.0,0.0,0.06176
1668702014.0,21928711.0,0.0,0.0948629
1668702014.0,121948245.0,0.0,0.0864262
1668702014.0,221930619.0,0.0,0.118968
1668702014.0,321922500.0,0.0,0.138898
1668702014.0,421916070.0,0.0,0.109211
1668702014.0,521956526.0,0.0,0.103526
1668702014.0,621926272.0,0.0,0.0905404
1668702014.0,721933943.0,0.0,0.0781287
1668702014.0,821930640.0,0.0,0.0726737
1668702014.0,921931962.0,0.0,0.0410528
1668702015.0,21946479.0,0.0,0.0353914
1668702015.0,121927706.0,0.0,0.0138585
1668702015.0,221938349.0,0.0,-0.00431586
1668702015.0,321933443.0,0.0,-0.007308
1668702015.0,421952104.0,0.0,-0.0358137
1668702015.0,521952304.0,0.0,-0.0313208
1668702015.0,641911499.0,0.0,-0.0610518
1668702015.0,741926448.0,0.0,-0.0581174
1668702015.0,841917051.0,0.0,-0.0740496
1668702015.0,941927233.0,0.0,-0.0623765
1668702016.0,41955612.0,0.0,-0.070656
1668702016.0,141905635.0,0.0,-0.0695888
1668702016.0,241931116.0,0.0,-0.0490577
1668702016.0,341915064.0,0.0,-0.0387064
1668702016.0,441908614.0,0.0,-0.0285625
1668702016.0,541917472.0,0.0,-0.02089
1668702016.0,641931518.0,0.0,-0.00679668
1668702016.0,741927267.0,0.0,0.00621719
1668702016.0,841915442.0,0.0,0.0164776
1668702016.0,941904043.0,0.0,0.0215405
1668702017.0,41934111.0,0.0,0.0361499
1668702017.0,141930031.0,0.0,0.0299762
1668702017.0,241927831.0,0.0,0.0358838
1668702017.0,341926557.0,0.0,0.0321995
1668702017.0,441953147.0,0.0,-0.00266641
1668702017.0,541922907.0,0.0,-0.00250165
1668702017.0,641926574.0,0.0,0.000177066
1668702017.0,741912672.0,0.0,0.000169491
1668702017.0,841916640.0,0.0,0.0
1668702017.0,941953388.0,0.0,0.0
1668702018.0,41934434.0,0.0,0.0
1668702018.0,141933677.0,0.0,0.0
1668702018.0,241956097.0,0.0,0.0
1668702018.0,341951396.0,0.0,0.0
1668702018.0,441955524.0,0.0,0.0
1668702018.0,541954637.0,0.0,0.0
1668702018.0,641953343.0,0.0,0.0
1668702018.0,741952250.0,0.0,0.0
1668702018.0,841921234.0,0.0,0.0
1668702018.0,941915805.0,0.0,0.0
1668702019.0,41924920.0,0.0,0.0
1668702019.0,141915473.0,0.0,0.0
1668702019.0,241936190.0,0.0,0.0
1668702019.0,341961627.0,0.0,0.0
1668702019.0,441959226.0,0.0,0.0
1668702019.0,541957019.0,0.0,0.0
1668702019.0,641934999.0,0.0,0.0
1668702019.0,741929526.0,0.0,0.0
1668702019.0,841951610.0,0.0,0.0
1668702019.0,941951199.0,0.0,0.0
1668702020.0,41931984.0,0.0,0.0
1668702020.0,141945178.0,0.0,0.0
1668702020.0,261957465.0,0.0,0.0
1668702020.0,361951516.0,0.0,0.0
1668702020.0,441929866.0,0.0,0.0
1668702020.0,561916218.0,0.0,0.0
1668702020.0,661910860.0,0.0,0.0
1668702020.0,761916212.0,0.0,0.0
1668702020.0,861918195.0,0.0,0.0
1668702020.0,961922790.0,0.0,0.0
1668702021.0,61932021.0,0.0,0.0
1668702021.0,161927324.0,0.0,0.0
1668702021.0,261938088.0,0.0,0.0
1668702021.0,361915476.0,0.0,0.0
1668702021.0,461928510.0,0.0,0.0
1668702021.0,561937474.0,0.0,0.0
1668702021.0,661915444.0,0.0,0.0
1668702021.0,761928681.0,0.0,0.0
1668702021.0,861910427.0,0.0,0.0
1668702021.0,961924708.0,0.0,0.0
1668702022.0,61915962.0,0.0,0.0
1668702022.0,161916763.0,0.0,0.0
1668702022.0,261938557.0,0.0,0.0
1668702022.0,361911745.0,0.0,0.0
1668702022.0,461914992.0,0.0,5.11314e-05
1668702022.0,561935413.0,0.0,6.24939e-05
1668702022.0,661934740.0,0.0,0.0
1668702022.0,761939676.0,0.0,0.0
1668702022.0,861942291.0,0.0,0.0
1668702022.0,961923773.0,0.0,0.0
1668702023.0,61912727.0,0.0,0.0
1668702023.0,161915513.0,0.0,0.0
1668702023.0,261931098.0,0.0,0.0
1668702023.0,361934248.0,0.0,0.0
1668702023.0,461916663.0,0.0,0.0
1668702023.0,561932068.0,0.0,0.0
1668702023.0,661951637.0,0.0,0.0
1668702023.0,761937514.0,0.0,0.0
1668702023.0,861914927.0,0.0,0.0
1668702023.0,961932852.0,0.0,0.0
1668702024.0,61928075.0,0.0,0.0
1668702024.0,161924692.0,0.0,0.0
1668702024.0,261940286.0,0.0,0.0
1668702024.0,361911069.0,0.0,0.0
1668702024.0,461953054.0,0.0,0.0
1668702024.0,561925430.0,0.0,0.0
1668702024.0,661953168.0,0.0,0.0
1668702024.0,761925524.0,0.0,0.0
1668702024.0,881956348.0,0.0,0.0
1668702024.0,981916105.0,0.0,0.0
1668702025.0,81952407.0,0.0,0.0
1668702025.0,181926126.0,0.0,0.0
1668702025.0,281932651.0,0.0,0.0
1668702025.0,381921634.0,0.0,0.0
1668702025.0,481940576.0,0.0,0.0
1668702025.0,581952714.0,0.0,0.0
1668702025.0,681947752.0,0.0,0.0
1668702025.0,781940610.0,0.0,0.0
1668702025.0,881930241.0,0.0,0.0
1668702025.0,981914755.0,0.0,0.0
1668702026.0,81952595.0,0.0,0.0
1668702026.0,181926801.0,0.0,0.0
1668702026.0,281954708.0,0.0,0.0
1668702026.0,381929781.0,0.0,0.0
1668702026.0,481946789.0,0.0,0.0
1668702026.0,581934821.0,0.0,0.0
1668702026.0,681954414.0,0.0,0.0
1668702026.0,781916342.0,0.0,0.0
1668702026.0,881949162.0,0.0,0.0
1668702026.0,981936116.0,0.0,-7.38564e-05
1668702027.0,81959509.0,0.0,0.0
1668702027.0,181957343.0,0.0,0.0
1668702027.0,281953469.0,0.0,0.0
