time,x,y,yaw
1666791688.3717258,-0.515972821083807,-0.9439618835794259,0.02226751908894492
1666791688.4717543,-0.5315631160612474,-0.9199172688281576,0.03761071685201439
1666791688.571719,-0.5420687949858032,-0.8933230851800706,0.03941682402192048
1666791688.6717858,-0.5502594246997572,-0.862606376828442,0.05666528416706318
1666791688.7718055,-0.5485273998555968,-0.838940191942583,0.07249626174221513
1666791688.8716931,-0.5367535274495023,-0.8253004389914721,0.07910372514455738
1666791688.9717968,-0.5222936826151264,-0.8173222637786943,0.08529077102337101
1666791689.071801,-0.5027552519180756,-0.8179445394149855,0.07969889863609586
1666791689.1717582,-0.4853187535744719,-0.822312340594449,0.07621266009345973
1666791689.2717772,-0.46642242337177997,-0.8293813760460238,0.061505334509909304
1666791689.3717706,-0.46136706626519675,-0.8321198584530028,0.05508452889504212
1666791689.471859,-0.460975187772652,-0.8309005515721891,0.06187343277909535
1666791689.571897,-0.47319498781888036,-0.8252260142313071,0.08831741215587824
1666791689.6717765,-0.486376862373514,-0.8217440103905205,0.10290220055810889
1666791689.7718208,-0.4993791877341114,-0.819084733246823,0.1191645967863581
1666791689.8718193,-0.5134506034259421,-0.8186651391616331,0.13674629044946268
1666791689.9717922,-0.5238797394658373,-0.8214404332812005,0.14734363407136442
1666791690.0717678,-0.5259610033126199,-0.8257590044282788,0.14899320811781258
1666791690.1717901,-0.5312725137499995,-0.8217256739555826,0.1558885880567999
1666791690.2716694,-0.5301486100254899,-0.8211063161040969,0.1560791828577871
1666791690.3716297,-0.5232334750304934,-0.821783010953326,0.14517696321509194
1666791690.4717667,-0.5085907998171881,-0.8231630325356655,0.12237803067683878
1666791690.5718076,-0.48612950541048905,-0.8272170838331091,0.09050928514927653
1666791690.6716678,-0.44898430166857733,-0.8415964504417659,0.04850120104412681
1666791690.7718098,-0.4001185633642721,-0.8662119237988535,-0.008948834702718123
1666791690.871689,-0.3620355072218181,-0.8875735461130196,-0.04519196047741009
1666791690.961679,-0.3457370802227312,-0.904243575791977,-0.06557897038502081
1666791691.0616672,-0.3372748719969975,-0.9144761889701717,-0.08109124544724564
1666791691.1615925,-0.34454166302049455,-0.9195067236013406,-0.08292972827974254
1666791691.2616045,-0.35257620225820774,-0.9207013147927938,-0.08381730415027391
1666791691.3616073,-0.3695601335147162,-0.911821666843679,-0.07136084346039992
1666791691.4616528,-0.38590142181725556,-0.8980257529867508,-0.06965310797121568
1666791691.5615847,-0.3991417556151242,-0.8801025926597856,-0.08222780733307727
1666791691.6615794,-0.4023300585541943,-0.8616182598365584,-0.0892008777821201
1666791691.7616231,-0.39247430934390815,-0.8490733205242185,-0.09534098302630645
1666791691.8616734,-0.36510850290124797,-0.8450151486442177,-0.10842687499439158
1666791691.9617038,-0.32516804495619217,-0.8478482222210341,-0.14453496352294856
1666791692.0617166,-0.30260196509963455,-0.8524511344633424,-0.1661190950387858
